Title,Release_Date,release_year,Vote_Average,Popularity,Vote_Count,Original_Language,Genre,genres_list,main_genre,Overview,Poster_Url,combined_features
Morning Glory,2010-11-10,2010,6.3,16.066,1217,en,"Comedy, Drama, Romance","['Comedy', 'Drama', 'Romance']",Comedy,"A young and devoted morning television producer is hired as an executive producer on a  long-running morning show at a once-prominent but currently failing station in New York City. Eager to keep the show on air, she recruits a former news journalist and anchor who disapproves of co-hosting a show that does not deal with real news stories.",https://image.tmdb.org/t/p/original/aFRXEoB3QkeHNHYmVGC3uzFSol8.jpg,"comedy drama romance a young and devoted morning television producer is hired as an executive producer on a  long-running morning show at a once-prominent but currently failing station in new york city. eager to keep the show on air, she recruits a former news journalist and anchor who disapproves of co-hosting a show that does not deal with real news stories."
In the Heat of the Night,1967-08-02,1967,7.7,16.066,734,en,"Crime, Drama, Mystery, Thriller","['Crime', 'Drama', 'Mystery', 'Thriller']",Crime,An African American detective is asked to investigate a murder in a racist southern town.,https://image.tmdb.org/t/p/original/1zjS7aSgvOX98BSWEsshDw3kxe5.jpg,crime drama mystery thriller an african american detective is asked to investigate a murder in a racist southern town.
Sissi: The Fateful Years of an Empress,1957-12-18,1957,7.3,16.062,265,de,"Romance, Drama, History","['Romance', 'Drama', 'History']",Romance,After a wonderful time in Hungary Sissi falls extremely ill and must retreat to a Mediterranean climate to rest. The young empress’ mother takes her from Austria to recover in Madeira.,https://image.tmdb.org/t/p/original/6LQaN8KGQcakpRHkGac2FqWfLxQ.jpg,romance drama history after a wonderful time in hungary sissi falls extremely ill and must retreat to a mediterranean climate to rest. the young empress’ mother takes her from austria to recover in madeira.
Cookies,1975-08-20,1975,6.4,16.061,50,fr,"Romance, Drama, Comedy","['Romance', 'Drama', 'Comedy']",Romance,"Henri Serin, a sales rep in umbrellas who lives in Saumur, is bored with his life. Married to an unloving, uptight wife, who, unlike him, has no interest in sex, he is also rejected by his children. Thus, he spends most of his time travelling from town to town, flirting with women and meeting all kinds of people in the hotels, restaurants, shops and places he visits. He also dabbles in painting, particularly portraits. After his car breaks down as he is driving through Brittany, he meets a rough, foul-mouthed painter who offers him to stay at his house, near Pont-Aven. There, Henri falls in love with Angela, the painters model and fling, and soon they run off together...",https://image.tmdb.org/t/p/original/hMqoGJtvuKOFO3Lou7cq0keawDW.jpg,"romance drama comedy henri serin, a sales rep in umbrellas who lives in saumur, is bored with his life. married to an unloving, uptight wife, who, unlike him, has no interest in sex, he is also rejected by his children. thus, he spends most of his time travelling from town to town, flirting with women and meeting all kinds of people in the hotels, restaurants, shops and places he visits. he also dabbles in painting, particularly portraits. after his car breaks down as he is driving through brittany, he meets a rough, foul-mouthed painter who offers him to stay at his house, near pont-aven. there, henri falls in love with angela, the painters model and fling, and soon they run off together..."
Sky Captain and the World of Tomorrow,2004-09-17,2004,5.8,16.059,986,en,"Mystery, Action, Thriller, Science Fiction, Adventure","['Mystery', 'Action', 'Thriller', 'Science Fiction', 'Adventure']",Mystery,"When gigantic robots attack New York City, ""Sky Captain"" uses his private air force to fight them off. His ex-girlfriend, reporter Polly Perkins, has been investigating the recent disappearance of prominent scientists. Suspecting a link between the global robot attacks and missing men, Sky Captain and Polly decide to work together. They fly to the Himalayas in pursuit of the mysterious Dr. Totenkopf, the mastermind behind the robots.",https://image.tmdb.org/t/p/original/ceW9Zi43hEQPdxkPkohVCcG1CuT.jpg,"mystery action thriller science fiction adventure when gigantic robots attack new york city, ""sky captain"" uses his private air force to fight them off. his ex-girlfriend, reporter polly perkins, has been investigating the recent disappearance of prominent scientists. suspecting a link between the global robot attacks and missing men, sky captain and polly decide to work together. they fly to the himalayas in pursuit of the mysterious dr. totenkopf, the mastermind behind the robots."
The Sucker,1965-03-24,1965,7.4,16.057,488,fr,"Comedy, Crime","['Comedy', 'Crime']",Comedy,"In this Frenco-Italian gangster parody, a shop keeper on his way to an Italian holiday suffers a crash which totals his car. The culprit can only compensate his ruined trip by driving an American friends car from Napels to Bordeaux, but as it happens to be filled with such contraband as stolen money, jewelry and drugs, the involuntary and unwitting companions in crime soon attract all but recreational attention from the ""milieu"".",https://image.tmdb.org/t/p/original/3UstvghyA6ywebZ4ti22guRscuP.jpg,"comedy crime in this frenco-italian gangster parody, a shop keeper on his way to an italian holiday suffers a crash which totals his car. the culprit can only compensate his ruined trip by driving an american friends car from napels to bordeaux, but as it happens to be filled with such contraband as stolen money, jewelry and drugs, the involuntary and unwitting companions in crime soon attract all but recreational attention from the ""milieu""."
Appleseed: Ex Machina,2007-10-19,2007,6.5,16.055,157,ja,"Animation, Action, Thriller, Science Fiction","['Animation', 'Action', 'Thriller', 'Science Fiction']",Animation,"As members of ESWAT, the elite forces serving Olympus, Deunan and Briaereos are deployed anywhere trouble strikes. Olympus finds itself under a stealth attack - cyborg terrorism, deadly nanotech zealots, and rioting citizens are just some of the threats that Deunan must contend with as she fights to save Olympus!",https://image.tmdb.org/t/p/original/kresKis4LuYPs1PWbeJ2FYyyXRA.jpg,"animation action thriller science fiction as members of eswat, the elite forces serving olympus, deunan and briaereos are deployed anywhere trouble strikes. olympus finds itself under a stealth attack - cyborg terrorism, deadly nanotech zealots, and rioting citizens are just some of the threats that deunan must contend with as she fights to save olympus!"
Masterminds,2016-09-29,2016,5.7,16.054,1470,en,"Action, Comedy, Crime","['Action', 'Comedy', 'Crime']",Action,A night guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history.,https://image.tmdb.org/t/p/original/4CXgye1p8Vr7taDG389QhhHDUZ4.jpg,action comedy crime a night guard at an armored car company in the southern u.s. organizes one of the biggest bank heists in american history.
Amour,2012-09-20,2012,7.8,16.052,1272,fr,"Drama, Romance","['Drama', 'Romance']",Drama,"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",https://image.tmdb.org/t/p/original/6aMbUAZJJkoIPsaG99D8mn65tZV.jpg,"drama romance georges and anne are in their eighties. they are cultivated, retired music teachers. their daughter, who is also a musician, lives abroad with her family. one day, anne has a stroke, and the couple's bond of love is severely tested."
"Synecdoche, New York",2008-10-24,2008,7.6,16.052,1053,en,Drama,['Drama'],Drama,"A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.",https://image.tmdb.org/t/p/original/ZLNHDNSnBzQlCEjHMsQ7mJU0sX.jpg,"drama a theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of new york inside a warehouse as part of his new play."
When a Man Loves a Woman,1994-04-29,1994,6.5,16.051,260,en,"Drama, Romance","['Drama', 'Romance']",Drama,"An airline pilot and his wife are forced to face the consequences of her alcoholism when her addictions threaten her life and their daughter's safety. While the woman enters detox, her husband must face the truth of his enabling behavior.",https://image.tmdb.org/t/p/original/cA1uMNX3sdWAWfMZbsgm1VIJYSY.jpg,"drama romance an airline pilot and his wife are forced to face the consequences of her alcoholism when her addictions threaten her life and their daughter's safety. while the woman enters detox, her husband must face the truth of his enabling behavior."
