Title,Release_Date,release_year,Vote_Average,Popularity,Vote_Count,Original_Language,Genre,genres_list,main_genre,Overview,Poster_Url,combined_features
Spider-Man: No Way Home,2021-12-15,2021,8.3,5083.954,8940,en,"Action, Adventure, Science Fiction","['Action', 'Adventure', 'Science Fiction']",Action,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",https://image.tmdb.org/t/p/original/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,"action adventure science fiction peter parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. when he asks for help from doctor strange the stakes become even more dangerous, forcing him to discover what it truly means to be spider-man."
The Batman,2022-03-01,2022,8.1,3827.658,1151,en,"Crime, Mystery, Thriller","['Crime', 'Mystery', 'Thriller']",Crime,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",https://image.tmdb.org/t/p/original/74xTEgt7R36Fpooo50r9T25onhq.jpg,"crime mystery thriller in his second year of fighting crime, batman uncovers corruption in gotham city that connects to his own family while facing a serial killer known as the riddler."
No Exit,2022-02-25,2022,6.3,2618.087,122,en,Thriller,['Thriller'],Thriller,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",https://image.tmdb.org/t/p/original/vDHsLnOWKlPGmWs0kGfuhNF4w5l.jpg,"thriller stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper."
Encanto,2021-11-24,2021,7.7,2402.201,5076,en,"Animation, Comedy, Family, Fantasy","['Animation', 'Comedy', 'Family', 'Fantasy']",Animation,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",https://image.tmdb.org/t/p/original/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,"animation comedy family fantasy the tale of an extraordinary family, the madrigals, who live hidden in the mountains of colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an encanto. the magic of the encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, mirabel. but when she discovers that the magic surrounding the encanto is in danger, mirabel decides that she, the only ordinary madrigal, might just be her exceptional family's last hope."
The King's Man,2021-12-22,2021,7.0,1895.511,1793,en,"Action, Adventure, Thriller, War","['Action', 'Adventure', 'Thriller', 'War']",Action,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",https://image.tmdb.org/t/p/original/aq4Pwv5Xeuvj6HZKtxyd23e6bE9.jpg,"action adventure thriller war as a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them."
The Commando,2022-01-07,2022,6.6,1750.484,33,en,"Action, Crime, Thriller","['Action', 'Crime', 'Thriller']",Action,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.",https://image.tmdb.org/t/p/original/pSh8MyYu5CmfyWEHzv8FEARH2zq.jpg,"action crime thriller an elite dea agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. they soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals."
Scream,2022-01-12,2022,6.8,1675.161,821,en,"Horror, Mystery, Thriller","['Horror', 'Mystery', 'Thriller']",Horror,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",https://image.tmdb.org/t/p/original/kZNHR1upJKF3eTzdgl5V8s8a4C3.jpg,"horror mystery thriller twenty-five years after a streak of brutal murders shocked the quiet town of woodsboro, a new killer has donned the ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past."
Kimi,2022-02-10,2022,6.3,1601.782,206,en,Thriller,['Thriller'],Thriller,"A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: she must leave her apartment.",https://image.tmdb.org/t/p/original/okNgwtxIWzGsNlR3GsOS0i0Qgbn.jpg,"thriller a tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. seeking justice, she must do the thing she fears the most: she must leave her apartment."
Fistful of Vengeance,2022-02-17,2022,5.3,1594.013,114,en,"Action, Crime, Fantasy","['Action', 'Crime', 'Fantasy']",Action,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,https://image.tmdb.org/t/p/original/3cccEF9QZgV9bLWyupJO41HSrOV.jpg,action crime fantasy a revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin kai tracks a killer to bangkok.
Eternals,2021-11-03,2021,7.2,1537.406,4726,en,Science Fiction,['Science Fiction'],Science Fiction,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",https://image.tmdb.org/t/p/original/zByhtBvX99ZiCQhac1sh9d9r6nb.jpg,"science fiction the eternals are a team of ancient aliens who have been living on earth in secret for thousands of years. when an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the deviants."
Pursuit,2022-02-18,2022,5.9,1501.523,16,en,"Action, Crime, Thriller","['Action', 'Crime', 'Thriller']",Action,"Detective Breslin crosses paths with Calloway, a ruthless hacker desperate to find his wife, who has been kidnapped by a drug cartel. When Calloway escapes police custody, Breslin joins forces with a no-nonsense female cop to reclaim his prisoner. But is Calloway’s crime-boss father somehow involved in this explosive situation?",https://image.tmdb.org/t/p/original/wYihSXWYqN8Ejsdut2P1P0o97N0.jpg,"action crime thriller detective breslin crosses paths with calloway, a ruthless hacker desperate to find his wife, who has been kidnapped by a drug cartel. when calloway escapes police custody, breslin joins forces with a no-nonsense female cop to reclaim his prisoner. but is calloway’s crime-boss father somehow involved in this explosive situation?"
My Hero Academia: World Heroes' Mission,2021-08-06,2021,7.3,1485.064,100,ja,"Animation, Action, Fantasy, Adventure","['Animation', 'Action', 'Fantasy', 'Adventure']",Animation,"A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-classic selected hero team. It is up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.",https://image.tmdb.org/t/p/original/4NUzcKtYPKkfTwKsLjwNt8nRIXV.jpg,"animation action fantasy adventure a mysterious group called humarize strongly believes in the quirk singularity doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. in order to save everyone, the pro-heroes around the world ask ua academy heroes-in-training to assist them and form a world-classic selected hero team. it is up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in my hero academia."
Restless,2022-02-25,2022,5.9,1468.377,107,fr,"Action, Thriller, Crime","['Action', 'Thriller', 'Crime']",Action,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",https://image.tmdb.org/t/p/original/aw4GGsRwhQtyLsjzC7dsAahfCDY.jpg,"action thriller crime after going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness."
Nightmare Alley,2021-12-02,2021,7.1,1455.144,952,en,"Crime, Drama, Thriller","['Crime', 'Drama', 'Thriller']",Crime,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,https://image.tmdb.org/t/p/original/680klE0dIreQQOyWKFgNnCAJtws.jpg,crime drama thriller an ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.
The Ice Age Adventures of Buck Wild,2022-01-28,2022,7.1,1431.307,737,en,"Animation, Comedy, Adventure, Family","['Animation', 'Comedy', 'Adventure', 'Family']",Animation,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,https://image.tmdb.org/t/p/original/zzXFM4FKDG7l1ufrAkwQYv2xvnh.jpg,animation comedy adventure family the fearless one-eyed weasel buck teams up with mischievous possum brothers crash & eddie as they head off on a new adventure into buck's home: the dinosaur world.
Hotel Transylvania: Transformania,2022-02-25,2022,7.0,1373.778,288,en,"Animation, Family, Fantasy, Comedy, Adventure","['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure']",Animation,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",https://image.tmdb.org/t/p/original/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg,"animation family fantasy comedy adventure when van helsing's mysterious invention, the ""monsterfication ray,"" goes haywire, drac and his monster pals are all transformed into humans, and johnny becomes a monster. in their new mismatched bodies, drac and johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy."
Texas Chainsaw Massacre,2022-02-18,2022,5.1,1312.79,521,en,Horror,['Horror'],Horror,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin.",https://image.tmdb.org/t/p/original/meRIRfADEGVo65xgPO6eZvJ0CRG.jpg,"horror in this sequel, influencers looking to breathe new life into a texas ghost town encounter leatherface, an infamous killer who wears a mask of human skin."
The Requin,2022-01-28,2022,4.6,1252.317,65,en,Thriller,['Thriller'],Thriller,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",https://image.tmdb.org/t/p/original/i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg,"thriller a couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. in order to survive, they are forced to fight the elements, while sharks circle below."
Looop Lapeta,2022-02-04,2022,6.0,1240.946,31,hi,"Action, Comedy, Crime","['Action', 'Comedy', 'Crime']",Action,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",https://image.tmdb.org/t/p/original/onGdT8sYi89drvSJyEJnft97rOq.jpg,"action comedy crime when her boyfriend loses a mobster's cash, savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends."
Red Notice,2021-11-04,2021,6.8,1178.544,3193,en,"Action, Comedy, Crime, Thriller","['Action', 'Comedy', 'Crime', 'Thriller']",Action,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",https://image.tmdb.org/t/p/original/lAXONuqg41NwUMuzMiFvicDET9Y.jpg,"action comedy crime thriller an interpol-issued red notice is a global alert to hunt and capture the world's most wanted. but when a daring heist brings together the fbi's top profiler and two rival criminals, there's no telling what will happen."
Sing 2,2021-12-01,2021,8.2,1112.9,2172,en,"Animation, Comedy, Family, Music","['Animation', 'Comedy', 'Family', 'Music']",Animation,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",https://image.tmdb.org/t/p/original/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,"animation comedy family music buster and his new cast now have their sights set on debuting a new show at the crystal tower theater in glamorous redshore city. but with no connections, he and his singers must sneak into the crystal entertainment offices, run by the ruthless wolf mogul jimmy crystal, where the gang pitches the ridiculous idea of casting the lion rock legend clay calloway in their show. buster must embark on a quest to find the now-isolated clay and persuade him to return to the stage."
The Jack in the Box: Awakening,2022-01-03,2022,5.4,1096.79,43,en,Horror,['Horror'],Horror,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.",https://image.tmdb.org/t/p/original/3Ib8vlWTrAKRrTWUrTrZPOMW4jp.jpg,"horror when a vintage jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims."
Venom: Let There Be Carnage,2021-09-30,2021,7.1,1053.615,6539,en,"Science Fiction, Action, Adventure","['Science Fiction', 'Action', 'Adventure']",Science Fiction,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",https://image.tmdb.org/t/p/original/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg,"science fiction action adventure after finding a host body in investigative reporter eddie brock, the alien symbiote must face a new enemy, carnage, the alter ego of serial killer cletus kasady."
The Matrix Resurrections,2021-12-16,2021,6.8,941.024,3160,en,"Science Fiction, Action, Adventure","['Science Fiction', 'Action', 'Adventure']",Science Fiction,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",https://image.tmdb.org/t/p/original/8c4a8kE7PizaGQQnditMmI1xbRp.jpg,"science fiction action adventure plagued by strange memories, neo's life takes an unexpected turn when he finds himself back inside the matrix."
Resident Evil: Welcome to Raccoon City,2021-11-24,2021,6.1,881.086,1312,en,"Horror, Action, Science Fiction","['Horror', 'Action', 'Science Fiction']",Horror,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",https://image.tmdb.org/t/p/original/7uRbWOXxpWDMtnsd2PF3clu65jc.jpg,"horror action science fiction once the booming home of pharmaceutical giant umbrella corporation, raccoon city is now a dying midwestern town. the company’s exodus left the city a wasteland…with great evil brewing below the surface. when that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind umbrella and make it through the night."
Last Man Down,2021-10-19,2021,6.3,869.605,318,en,"Action, Thriller","['Action', 'Thriller']",Action,"After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.",https://image.tmdb.org/t/p/original/4B7liCxNCZIZGONmAMkCnxVlZQV.jpg,"action thriller after civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the nordic wilderness. years later, a wounded woman appears on his doorstep. she's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. he's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than commander stone, the man that murdered his wife some years ago."
American Siege,2022-01-07,2022,5.4,867.326,49,en,"Action, Thriller, Crime, Drama","['Action', 'Thriller', 'Crime', 'Drama']",Action,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.,https://image.tmdb.org/t/p/original/daeVrgyj0ue8qb3AHyU3UeCwoZz.jpg,action thriller crime drama an ex-nypd officer-turned-sheriff of a small rural georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.
Uncharted,2022-02-10,2022,7.1,866.391,691,en,"Action, Adventure","['Action', 'Adventure']",Action,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",https://image.tmdb.org/t/p/original/sqLowacltbZLoCa4KYye64RvvdQ.jpg,"action adventure a young street-smart, nathan drake and his wisecracking partner victor “sully” sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to nathan’s long-lost brother."
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,2020,8.4,845.992,2224,ja,"Animation, Action, Adventure, Fantasy","['Animation', 'Action', 'Adventure', 'Fantasy']",Animation,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",https://image.tmdb.org/t/p/original/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,"animation action adventure fantasy tanjirō kamado, joined with inosuke hashibira, a boy raised by boars who wears a boar's head, and zenitsu agatsuma, a scared boy who reveals his true power when he sleeps, boards the infinity train on a new mission with the fire hashira, kyōjurō rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!"
Ghostbusters: Afterlife,2021-11-11,2021,7.7,839.904,2225,en,"Fantasy, Comedy, Adventure","['Fantasy', 'Comedy', 'Adventure']",Fantasy,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",https://image.tmdb.org/t/p/original/sg4xJaufDiQl7caFEskBtQXfD4x.jpg,"fantasy comedy adventure when a single mom and her two kids arrive in a small town, they begin to discover their connection to the original ghostbusters and the secret legacy their grandfather left behind."
The 355,2022-01-05,2022,6.1,781.748,313,en,"Action, Thriller","['Action', 'Thriller']",Action,"A group of top female agents from American, British, Chinese, Columbian and German  government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.",https://image.tmdb.org/t/p/original/uQt2dJFMnJmAp9zLAWNfGilK0BW.jpg,"action thriller a group of top female agents from american, british, chinese, columbian and german  government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos."
Shang-Chi and the Legend of the Ten Rings,2021-09-01,2021,7.7,769.185,5845,en,"Action, Adventure, Fantasy","['Action', 'Adventure', 'Fantasy']",Action,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,https://image.tmdb.org/t/p/original/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg,action adventure fantasy shang-chi must confront the past he thought he left behind when he is drawn into the web of the mysterious ten rings organization.
Marry Me,2022-02-09,2022,6.9,761.793,230,en,"Romance, Comedy, Music","['Romance', 'Comedy', 'Music']",Romance,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.",https://image.tmdb.org/t/p/original/ko1JVbGj4bT8IhCWqjBQ6ZtF2t.jpg,"romance comedy music music superstars kat valdez and bastian are getting married before a global audience of fans. but when kat learns, seconds before her vows, that bastian has been unfaithful, she decides to marry charlie, a stranger in the crowd, instead."
The Hunting,2022-01-21,2022,5.8,761.127,10,en,Horror,['Horror'],Horror,"When a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife specialist to uncover the dark and disturbing truth that threatens the town.",https://image.tmdb.org/t/p/original/kvhrltQIRp1u84ao9uj52YPaWNY.jpg,"horror when a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife specialist to uncover the dark and disturbing truth that threatens the town."
West Side Story,2021-12-08,2021,7.4,678.186,562,en,"Drama, Romance, Crime","['Drama', 'Romance', 'Crime']",Drama,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",https://image.tmdb.org/t/p/original/yfz3IUoYYSY32tkb97HlUBGFsnh.jpg,"drama romance crime two youngsters from rival new york city gangs fall in love, but tensions between their respective friends build toward tragedy."
Through My Window,2022-02-04,2022,7.8,659.105,1331,es,"Romance, Drama","['Romance', 'Drama']",Romance,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",https://image.tmdb.org/t/p/original/6gg7fvKc1ZxP9yCczweSxIGYp4S.jpg,"romance drama raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections."
The Seven Deadly Sins: Cursed by Light,2021-07-02,2021,8.0,647.54,312,ja,"Animation, Fantasy","['Animation', 'Fantasy']",Animation,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",https://image.tmdb.org/t/p/original/k0ThmZQl5nHe4JefC2bXjqtgYp0.jpg,"animation fantasy with the help of the ""dragon sin of wrath"" meliodas and the worst rebels in history, the seven deadly sins, the ""holy war"", in which four races, including humans, goddesses, fairies and giants fought against the demons, is finally over. at the cost of the ""lion sin of pride"" escanor's life, the demon king was defeated and the world regained peace. after that, each of the sins take their own path."
One Shot,2021-11-05,2021,6.8,622.24,382,en,Action,['Action'],Action,"An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.",https://image.tmdb.org/t/p/original/3OXiTjU30gWtqxmx4BU9RVp2OTv.jpg,"action an elite squad of navy seals, on a covert mission to transport a prisoner off a cia black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner."
Tom and Jerry: Cowboy Up!,2022-01-24,2022,7.1,614.11,163,en,"Animation, Comedy, Family, Western","['Animation', 'Comedy', 'Family', 'Western']",Animation,"This time, the rivals team up to help a cowgirl and her brother save their homestead from a greedy land-grabber, and they’re going to need some help! Jerry’s three precocious nephews are all ready for action, and Tom is rounding up a posse of prairie dogs. But can a ragtag band of varmints defeat a deceitful desperado determined to deceive a damsel in distress? No matter what happens with Tom and Jerry in the saddle, it’ll be a rootin’ tootin’ good time!",https://image.tmdb.org/t/p/original/muIaHotSaSUQr0KZCIJOYQEe7y2.jpg,"animation comedy family western this time, the rivals team up to help a cowgirl and her brother save their homestead from a greedy land-grabber, and they’re going to need some help! jerry’s three precocious nephews are all ready for action, and tom is rounding up a posse of prairie dogs. but can a ragtag band of varmints defeat a deceitful desperado determined to deceive a damsel in distress? no matter what happens with tom and jerry in the saddle, it’ll be a rootin’ tootin’ good time!"
Chernobyl: Abyss,2020-10-15,2020,6.2,601.958,314,ru,"Drama, History, Adventure","['Drama', 'History', 'Adventure']",Drama,The aftermath of a shocking explosion at the Chernobyl nuclear power station made hundreds of people sacrifice their lives to clean up the site of the catastrophe and to successfully prevent an even bigger disaster that could have turned a large part of the European continent into an uninhabitable exclusion zone. This is their story.,https://image.tmdb.org/t/p/original/AmJLuHjxPdIJO6vmymeWADG6jK5.jpg,drama history adventure the aftermath of a shocking explosion at the chernobyl nuclear power station made hundreds of people sacrifice their lives to clean up the site of the catastrophe and to successfully prevent an even bigger disaster that could have turned a large part of the european continent into an uninhabitable exclusion zone. this is their story.
Desperate Riders,2022-02-25,2022,6.8,590.474,10,en,"Western, Action","['Western', 'Action']",Western,"After Kansas Red rescues young Billy from a card-game shootout, the boy asks Red for help protecting his family from the outlaw Thorn, who’s just kidnapped Billy’s mother, Carol. As Red and Billy ride off to rescue Carol, they run into beautiful, tough-as-nails Leslie, who’s managed to escape Thorn’s men. The three race to stop Thorn’s wedding to Carol with guns a-blazing - but does she want to be rescued?",https://image.tmdb.org/t/p/original/7pYYGm1dWZGkbJuhcuaHD6nE6k7.jpg,"western action after kansas red rescues young billy from a card-game shootout, the boy asks red for help protecting his family from the outlaw thorn, who’s just kidnapped billy’s mother, carol. as red and billy ride off to rescue carol, they run into beautiful, tough-as-nails leslie, who’s managed to escape thorn’s men. the three race to stop thorn’s wedding to carol with guns a-blazing - but does she want to be rescued?"
Clifford the Big Red Dog,2021-11-10,2021,7.3,585.011,1100,en,"Family, Adventure, Comedy, Fantasy","['Family', 'Adventure', 'Comedy', 'Fantasy']",Family,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",https://image.tmdb.org/t/p/original/oifhfVhUcuDjE61V5bS5dfShQrm.jpg,"family adventure comedy fantasy as emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. when clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, emily and her uncle casey have to fight the forces of greed as they go on the run across new york city. along the way, clifford affects the lives of everyone around him and teaches emily and her uncle the true meaning of acceptance and unconditional love."
Tyler Perry's A Madea Homecoming,2022-02-25,2022,6.7,577.591,42,en,Comedy,['Comedy'],Comedy,Madea's back - hallelujer! And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,https://image.tmdb.org/t/p/original/vzX5GNRTXsAltdU1tfASmZbzYmv.jpg,comedy madea's back - hallelujer! and she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.
The Boss Baby: Family Business,2021-07-01,2021,7.6,567.421,1785,en,"Animation, Comedy, Adventure, Family","['Animation', 'Comedy', 'Adventure', 'Family']",Animation,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,https://image.tmdb.org/t/p/original/kv2Qk9MKFFQo4WQPaYta599HkJP.jpg,animation comedy adventure family the templeton brothers — tim and his boss baby little bro ted — have become adults and drifted away from each other. but a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.
Turning Red,2022-03-10,2022,8.6,564.507,8,en,"Animation, Family, Comedy, Fantasy","['Animation', 'Family', 'Comedy', 'Fantasy']",Animation,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",https://image.tmdb.org/t/p/original/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,"animation family comedy fantasy thirteen-year-old mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda."
Brazen,2022-01-13,2022,4.8,553.141,211,en,"Thriller, Mystery, Drama","['Thriller', 'Mystery', 'Drama']",Thriller,Mystery writer Grace Miller has killer instincts when it comes to motive - and she'll need every bit of expertise to help solve her sister's murder.,https://image.tmdb.org/t/p/original/7e4n1GfC9iky9VQzH3cDQz9wYpO.jpg,thriller mystery drama mystery writer grace miller has killer instincts when it comes to motive - and she'll need every bit of expertise to help solve her sister's murder.
The House,2022-01-14,2022,7.1,551.65,432,en,"Animation, Drama, Comedy, Horror","['Animation', 'Drama', 'Comedy', 'Horror']",Animation,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",https://image.tmdb.org/t/p/original/iZjMFSKCrleKolC1gYcz5Rs8bk1.jpg,"animation drama comedy horror across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
